대분류,소분류,시설명,주소,위도,경도,전화번호,상세위치,이용시간,의료인수,병상수,입원실수,정기 휴관일,장애별,홈페이지 주소,호선,엘리베이터,정류소번호
편의시설,복지관,강남장애인복지관,강남구 개포로 605 (개포동12-10),37.4919459,127.0734546,02-445-8006,,,,,,,,,,,
편의시설,복지관,하상장애인복지관,강남구 개포로 613 (개포동 12-5),37.4924322,127.0750346,02-451-6000,,,,,,,,,,,
편의시설,주간보호시설,하상,강남구 개포로 613 (개포동 12-5),37.4924322,127.0750346,02-451-6000,,,,,,,,,,,
편의시설,주간보호시설,해마을 주간보호,강남구 개포로 617-8 (개포동 14-2),37.4940068,127.0777343,02-3412-2222,,,,,,,,,,,
편의시설,수화통역센터,강남구 수화통역센터,강남구 개포로82길 13-17 대화빌딩 402호 (개포동 186-7),37.4888556,127.0685648,02-451-6798,,,,,,,,,,,
편의시설,주간보호시설,한우리,강남구 광평로60길 22 (수서동 721),37.4869823,127.1069593,02-2184-8707,,,,,,,,,,,
편의시설,주간보호시설,서울영동 주간보호,강남구 논현로132길 20 서울영동교회 교육관 2층,37.51501,127.0319618,02-6925-3830,,,,,,,,,,,
편의시설,복지관,충현복지관,강남구 논현로98길 16 (역삼동 669-3),37.5036583,127.0373687,02-2192-0600,,,,,,,,,,,
편의시설,복지관,충현복지관,강남구 논현로98길 16 충현복지관,37.5036181,127.0369659,02-2192-0600,,,,,,,,,,,
편의시설,단기보호시설,밀알단기보호시설,강남구 밤고개로1길 38 (수서동 717-1),37.4888538,127.1039811,02-3414-0314,,,,,,,,,,,
편의시설,주간보호시설,밀알 주간보호,강남구 밤고개로1길 38 B동 101호,37.4888538,127.1039811,02-3414-0314,,,,,,,,,,,
편의시설,복지관,청음회관,강남구 봉은사로50길 6 (역삼동 681-50),37.5093377,127.0423495,02-556-4758,,,,,,,,,,,
편의시설,주간보호시설,광림주간보호센터,강남구 압구정로22길 21 광림주간보호센터,37.5242008,127.0267656,02-2056-5676,,,,,,,,,,,
